"","value","Class"
"1",0.972566122678672,"0111Z"
"2",0.705882352941176,"0112Z"
"3",0.977197931358721,"0113Z"
"4",0.984478935698448,"0114Z"
"5",0.75,"0115Z"
"6",0.762886597938144,"0116Z"
"7",0.932735426008969,"0119Z"
"8",0.971484566389025,"0121Z"
"9",0.986175115207373,"0122Z"
"10",0.92436974789916,"0123Z"
"11",0.951864406779661,"0124Z"
"12",0.955223880597015,"0125Z"
"13",0.938435940099834,"0126Z"
"14",0.808510638297872,"0127Z"
"15",0.961702127659574,"0128Z"
"16",0.788519637462236,"0129Z"
"17",0.867924528301887,"0130Z"
"18",0.981634857760173,"0141Z"
"19",0.978425655976676,"0142Z"
"20",0.94154004635591,"0143Z"
"21",0.939393939393939,"0144Z"
"22",0.984639416818537,"0145Z"
"23",0.963609898107715,"0146Z"
"24",0.958861976163014,"0147Z"
"25",0.991444295426167,"0149Z"
"26",0.922234004948745,"0150Z"
"27",0.87379949452401,"0161Z"
"28",0.835307604126863,"0162Z"
"29",0.15,"0163Z"
"30",0.0952380952380952,"0164Z"
"31",0.309859154929577,"0170Z"
"32",0.974286521616276,"0210Z"
"33",0.800468110005851,"0220Z"
"34",0.593220338983051,"0230Z"
"35",0.791325695581015,"0240Z"
"36",0.949434860202261,"0311Z"
"37",0.609756097560976,"0312Z"
"38",0.92604501607717,"0321Z"
"39",0.879765395894428,"0322Z"
"40",NA,"0510Z"
"41",0.6,"0610Z"
"42",NA,"0620Z"
"43",NA,"0710Z"
"44",0.885714285714286,"0729Z"
"45",0.786729857819905,"0811Z"
"46",0.793201133144476,"0812Z"
"47",0.285714285714286,"0891Z"
"48",NA,"0892Z"
"49",0.970059880239521,"0893Z"
"50",0.181818181818182,"0899Z"
"51",0.5,"0910Z"
"52",0.333333333333333,"0990Z"
"53",0.64792899408284,"1011Z"
"54",0.654867256637168,"1012Z"
"55",0.5,"1013A"
"56",0.718023255813953,"1013B"
"57",0.699186991869919,"1020Z"
"58",0.580645161290323,"1031Z"
"59",0.758974358974359,"1032Z"
"60",0.481327800829876,"1039A"
"61",0.771739130434783,"1039B"
"62",0.548387096774194,"1041A"
"63",0.473684210526316,"1041B"
"64",0.458333333333333,"1051A"
"65",0.666666666666667,"1051B"
"66",0.654088050314465,"1051C"
"67",0.48,"1051D"
"68",0.758823529411765,"1052Z"
"69",0.721649484536083,"1061A"
"70",0.36734693877551,"1061B"
"71",0.285714285714286,"1062Z"
"72",0.666666666666667,"1071A"
"73",0.784140969162996,"1071B"
"74",0.945765747835606,"1071C"
"75",0.877079978529254,"1071D"
"76",0.877645844088797,"1072Z"
"77",0.794392523364486,"1073Z"
"78",0.375,"1081Z"
"79",0.798165137614679,"1082Z"
"80",0.823529411764706,"1083Z"
"81",0.727272727272727,"1084Z"
"82",0.527810650887574,"1085Z"
"83",0.382352941176471,"1086Z"
"84",0.521145975443383,"1089Z"
"85",0.770491803278688,"1091Z"
"86",0.675862068965517,"1092Z"
"87",0.788461538461538,"1101Z"
"88",0.507462686567164,"1102A"
"89",0.595588235294118,"1102B"
"90",0.647887323943662,"1103Z"
"91",0.635294117647059,"1104Z"
"92",0.938694792353329,"1105Z"
"93",0.666666666666667,"1106Z"
"94",0.19047619047619,"1107A"
"95",0.512820512820513,"1107B"
"96",0.675,"1200Z"
"97",0.6,"1310Z"
"98",0.697674418604651,"1320Z"
"99",0.608414239482201,"1330Z"
"100",0.418032786885246,"1391Z"
"101",0.747980948436529,"1392Z"
"102",0.418604651162791,"1393Z"
"103",0.579710144927536,"1394Z"
"104",0.25,"1395Z"
"105",0.403846153846154,"1396Z"
"106",0.701325178389399,"1399Z"
"107",0.551724137931034,"1411Z"
"108",0.3125,"1412Z"
"109",0.856334308084143,"1413Z"
"110",0.590476190476191,"1414Z"
"111",0.691072575465639,"1419Z"
"112",0.428571428571429,"1420Z"
"113",0.285714285714286,"1431Z"
"114",0.633540372670807,"1439Z"
"115",0.580645161290323,"1511Z"
"116",0.873092668403424,"1512Z"
"117",0.664092664092664,"1520Z"
"118",0.822616407982262,"1610A"
"119",0.840764331210191,"1610B"
"120",0.518518518518519,"1621Z"
"121",0.285714285714286,"1622Z"
"122",0.627826086956522,"1623Z"
"123",0.73224043715847,"1624Z"
"124",0.795438996579248,"1629Z"
"125",0.5,"1711Z"
"126",0.550724637681159,"1712Z"
"127",0.571428571428571,"1721A"
"128",0.611940298507463,"1721B"
"129",0.372093023255814,"1721C"
"130",0.269230769230769,"1722Z"
"131",0.733333333333333,"1723Z"
"132",0.470588235294118,"1724Z"
"133",0.669444444444444,"1729Z"
"134",0.315789473684211,"1811Z"
"135",0.712528823981553,"1812Z"
"136",0.739331340038054,"1813Z"
"137",0.778625954198473,"1814Z"
"138",0.698689956331878,"1820Z"
"139",0.4,"1920Z"
"140",0.666666666666667,"2011Z"
"141",0.470588235294118,"2012Z"
"142",1,"2013A"
"143",0.142857142857143,"2013B"
"144",0.610778443113772,"2014Z"
"145",0.457142857142857,"2015Z"
"146",0.311688311688312,"2016Z"
"147",0.857142857142857,"2017Z"
"148",0.535714285714286,"2020Z"
"149",0.64,"2030Z"
"150",0.80946123521682,"2041Z"
"151",0.754125412541254,"2042Z"
"152",0.5,"2051Z"
"153",0.352941176470588,"2052Z"
"154",0.628571428571429,"2053Z"
"155",0.558139534883721,"2059Z"
"156",0.666666666666667,"2060Z"
"157",0.545454545454546,"2110Z"
"158",0.505882352941176,"2120Z"
"159",0.235294117647059,"2211Z"
"160",0.536082474226804,"2219Z"
"161",0.451612903225806,"2221Z"
"162",0.526315789473684,"2222Z"
"163",0.493827160493827,"2223Z"
"164",0.594911937377691,"2229A"
"165",0.417910447761194,"2229B"
"166",0.166666666666667,"2311Z"
"167",0.58252427184466,"2312Z"
"168",0.731707317073171,"2313Z"
"169",NA,"2314Z"
"170",0.775330396475771,"2319Z"
"171",0.56140350877193,"2320Z"
"172",0.41025641025641,"2331Z"
"173",0.579710144927536,"2332Z"
"174",0.886326194398682,"2341Z"
"175",0.444444444444444,"2342Z"
"176",0.666666666666667,"2343Z"
"177",0.5,"2344Z"
"178",0.153846153846154,"2349Z"
"179",0.714285714285714,"2351Z"
"180",0.75,"2352Z"
"181",0.705128205128205,"2361Z"
"182",0.742857142857143,"2362Z"
"183",0.901734104046243,"2363Z"
"184",0.461538461538462,"2364Z"
"185",NA,"2365Z"
"186",0.674242424242424,"2369Z"
"187",0.872680742162508,"2370Z"
"188",0.222222222222222,"2391Z"
"189",0.677083333333333,"2399Z"
"190",0.486486486486486,"2410Z"
"191",0.538461538461538,"2420Z"
"192",0.5,"2431Z"
