"","Topk","Type","Accuracy"
"1","Top 1","Données guichet unique",0.800267584097859
"2","Top 2","Données guichet unique",0.88105249745158
"3","Top 3","Données guichet unique",0.913735983690112
"4","Top 4","Données guichet unique",0.930300713557594
"5","Top 5","Données guichet unique",0.944062181447503
"6","Top 1","Données test",0.88845361778173
"7","Top 2","Données test",0.935706248519925
"8","Top 3","Données test",0.953394748752767
"9","Top 4","Données test",0.962853215341493
"10","Top 5","Données test",0.968737549271605
